127.0.0.1 - - [23/Oct/2022:21:56:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:04 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:04 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:04 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:16 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:24 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:24 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:26 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:31 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:39 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:56:44 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:57:20 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:57:30 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [23/Oct/2022:21:57:32 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 3003
